feature,importance_at_drop,iteration_dropped,rank
inter_arrival_time,Survived,None,1
device_mac,0.3770784219938633,127,2
src_ip_mac_5_count,0.23931171726272732,126,3
payload_entropy,0.16058243582688414,125,4
channel_30_var,0.10650392437938726,124,5
l3_ip_dst_count,0.10183744331692078,123,6
channel_1_count,0.08065963754603991,122,7
most_freq_spot,0.054671351627265004,121,8
stream_jitter_60_sum,0.03808017220906807,120,9
channel_30_mean,0.027215462088662504,119,10
src_ip_mac_60_count,0.017857438512537762,118,11
l4_udp,0.031005946105232326,117,12
channel_60_var,0.015620263293248178,116,13
stream_jitter_30_sum,0.01373408227020167,115,14
min_et,0.01333172701033477,114,15
min_p,0.007805859435259487,113,16
stream_30_count,0.01722770599939314,112,17
src_ip_60_count,0.007343851422352461,111,18
channel_5_count,0.004919474296091507,110,19
channel_30_count,0.005723007511999626,109,20
eth_src_oui,0.00785557486607123,108,21
med_p,0.005937956966716189,107,22
channel_60_mean,0.00392119233453442,106,23
stream_jitter_10_sum,0.005970232612708724,105,24
channel_60_count,0.005254081707254399,104,25
stream_jitter_5_sum,0.004822914152589797,103,26
min_e,0.0036012508812589927,102,27
src_ip_mac_1_count,0.0043329042794628,101,28
eth_dst_oui,0.004331826305123892,100,29
stream_60_var,0.0031472060309926373,99,30
stream_30_mean,0.00284428182980266,98,31
src_ip_30_count,0.002480374271054107,97,32
tcp_window_size,0.0030509801119169093,96,33
sum_p,0.003487220595641859,95,34
dst_port,0.0028294635619416798,94,35
stream_10_count,0.0017761681868155971,93,36
src_ip_mac_60_var,0.0024916300129449336,92,37
stream_60_mean,0.002322016530509835,91,38
l4_tcp,0.00047413007223621784,90,39
src_ip_5_count,0.0023984865584746437,89,40
src_ip_30_mean,0.0017144893218733132,88,41
average_p,0.0019490395801713938,87,42
channel_10_count,0.002291565838542318,86,43
stream_60_count,0.0017467965086932944,85,44
port_class_dst,0.0012585420488348605,84,45
src_ip_mac_60_mean,0.0013213382904665324,83,46
src_ip_mac_10_count,0.0011255507926885542,82,47
stream_10_mean,0.0014819842597944353,81,48
stream_jitter_1_sum,0.0022097919684645204,80,49
stream_jitter_60_mean,0.00133773418977683,79,50
q1_p,0.0011817057519396944,78,51
channel_10_var,0.0012501385429906605,77,52
src_port,0.0011441281929609503,76,53
highest_layer,0.0008388233486843886,75,54
channel_10_mean,0.0010912937473537678,74,55
src_ip_mac_30_count,0.0009942927156991054,73,56
time_since_previously_displayed_frame,0.0012379527061053062,72,57
q1_e,0.0009674027345021241,71,58
stream_5_mean,0.0007605959623533855,70,59
var_p,0.0007425921259980891,69,60
max_p,0.0007801505171142703,68,61
src_ip_30_var,0.0010330090730663697,67,62
stream_30_var,0.0008393976334170291,66,63
stream_jitter_5_mean,0.000750426901541131,65,64
stream_5_count,0.0006508584550617936,64,65
ttl,0.0009230784196850771,63,66
iqr_p,0.0009134678471845773,62,67
src_ip_60_mean,0.0005912153039237916,61,68
stream_1_count,0.00044552081596166404,60,69
q1,0.0007176884500848414,59,70
q3_p,0.0006152451046477374,58,71
src_ip_10_count,0.0006821282970581206,57,72
src_ip_60_var,0.0006500279944022471,56,73
src_ip_mac_10_mean,0.0005146289485176754,55,74
src_ip_mac_30_var,0.000342774492734229,54,75
src_ip_1_count,0.0005670799238377582,53,76
stream_jitter_1_mean,0.0007494533822808665,52,77
stream_1_mean,0.0005278989499065962,51,78
stream_10_var,0.00041936984505992937,50,79
src_ip_mac_30_mean,0.0005147545499595094,49,80
channel_5_var,0.00038103952101674056,48,81
stream_jitter_30_mean,0.0005640978724961162,47,82
channel_1_mean,0.0005702163179053118,46,83
jitter,0.0004281813524526832,45,84
eth_size,0.00025690877929567533,44,85
stream_5_var,0.00036833276976243405,43,86
src_ip_mac_5_mean,0.0002997865899738972,42,87
src_ip_10_var,0.0004956583695036553,41,88
stream_1_var,0.00034870971446305436,40,89
src_ip_10_mean,0.0004005526033084494,39,90
var_e,0.00027740842019089893,38,91
channel_5_mean,0.0003470319333422802,37,92
stream_jitter_10_mean,0.0003502653930461204,36,93
src_ip_5_var,0.00028349271362034315,35,94
src_ip_5_mean,0.00012251509246502635,34,95
src_ip_mac_1_var,0.000271209390944523,33,96
dns_len_qry,0.00027903173385650573,32,97
src_ip_mac_5_var,0.00021529991073155228,31,98
src_ip_1_var,0.0001567096833513291,30,99
payload_length,0.0002438636665517545,29,100
src_ip_1_mean,0.0002009082462316429,28,101
src_ip_mac_1_mean,0.00020662462753799637,27,102
stream_jitter_30_var,8.884240299895077e-05,26,103
channel_1_var,0.00015829515338543272,25,104
stream_jitter_60_var,0.00014210316854171894,24,105
src_ip_mac_10_var,0.0002350591120596865,23,106
dns_query_type,8.910842243923567e-05,22,107
stream_jitter_5_var,0.00010261433828714675,21,108
stream_jitter_10_var,0.00013666128432626056,20,109
dns_interval,5.2038913948644087e-05,19,110
icmp_checksum_status,5.8757555559047124e-05,18,111
dns_server,3.0450488794733436e-05,17,112
stream_jitter_1_var,4.228367390893973e-05,16,113
ntp_interval,1.0222362896337922e-05,15,114
dns_len_ans,3.31470351813061e-05,14,115
http_uri,1.4983807865466266e-05,13,116
http_content_len,0.0,12,117
http_content_type,0.0,11,118
handshake_version,0.0,10,119
icmp_data_size,0.0,9,120
http_response_code,0.0,8,121
icmp_type,0.0,7,122
http_request_method,0.0,6,123
user_agent,0.0,5,124
handshake_sig_hash_alg_len,0.0,4,125
tls_server,0.0,3,126
handshake_extensions_length,0.0,2,127
handshake_cipher_suites_length,0.0,1,128
