model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
dtc_c8_f128_n100000_2601072142,128,0.9876,0.9876,0.9876,0.9876,0.765625,922.7754
dtc_c8_f127_n100000_2601072142,127,0.9879,0.9879,0.9879,0.9879,0.75,991.9932
dtc_c8_f126_n100000_2601072142,126,0.9876,0.9876,0.9876,0.9876,0.765625,979.9639
dtc_c8_f125_n100000_2601072142,125,0.9868,0.9868,0.9868,0.9868,0.765625,965.2012
dtc_c8_f124_n100000_2601072142,124,0.9873,0.9873,0.9873,0.9873,0.734375,1045.6729
dtc_c8_f123_n100000_2601072142,123,0.987,0.987,0.987,0.987,0.71875,926.6602
dtc_c8_f122_n100000_2601072142,122,0.9879,0.9879,0.9879,0.9879,0.703125,929.3887
dtc_c8_f121_n100000_2601072142,121,0.9869,0.9869,0.9869,0.9869,0.703125,915.127
dtc_c8_f120_n100000_2601072142,120,0.9874,0.9874,0.9874,0.9874,0.71875,893.1064
dtc_c8_f119_n100000_2601072142,119,0.9878,0.9878,0.9878,0.9878,0.703125,902.3398
dtc_c8_f118_n100000_2601072142,118,0.9878,0.9879,0.9878,0.9878,0.703125,912.0703
dtc_c8_f117_n100000_2601072142,117,0.9854,0.9855,0.9854,0.9854,0.71875,978.0508
dtc_c8_f116_n100000_2601072142,116,0.9865,0.9865,0.9865,0.9865,0.65625,915.5322
dtc_c8_f115_n100000_2601072142,115,0.9864,0.9864,0.9864,0.9864,0.71875,920.0215
dtc_c8_f114_n100000_2601072142,114,0.9869,0.9869,0.9869,0.9869,0.6875,911.7578
dtc_c8_f113_n100000_2601072142,113,0.9866,0.9866,0.9866,0.9866,0.71875,1025.4932
dtc_c8_f112_n100000_2601072142,112,0.9875,0.9875,0.9875,0.9875,0.6875,938.9717
dtc_c8_f111_n100000_2601072142,111,0.9851,0.9851,0.9851,0.9851,0.71875,934.209
dtc_c8_f110_n100000_2601072142,110,0.9806,0.9808,0.9806,0.9807,0.6875,822.9365
dtc_c8_f109_n100000_2601072142,109,0.9841,0.9841,0.9841,0.9841,0.703125,1115.6719
dtc_c8_f108_n100000_2601072142,108,0.9884,0.9884,0.9884,0.9884,0.65625,950.3994
dtc_c8_f107_n100000_2601072142,107,0.9856,0.9856,0.9856,0.9856,0.671875,900.1279
dtc_c8_f106_n100000_2601072142,106,0.9863,0.9863,0.9863,0.9863,0.640625,926.8613
dtc_c8_f105_n100000_2601072142,105,0.9881,0.9881,0.9881,0.9881,0.65625,960.5918
dtc_c8_f104_n100000_2601072142,104,0.987,0.987,0.987,0.987,0.625,928.3193
dtc_c8_f103_n100000_2601072142,103,0.9844,0.9845,0.9844,0.9844,0.671875,884.0537
dtc_c8_f102_n100000_2601072142,102,0.9868,0.9868,0.9868,0.9868,0.609375,956.5312
dtc_c8_f101_n100000_2601072142,101,0.9859,0.9859,0.9859,0.9859,0.625,954.2617
dtc_c8_f100_n100000_2601072142,100,0.9873,0.9873,0.9873,0.9873,0.625,947.2461
dtc_c8_f099_n100000_2601072142,99,0.9858,0.9858,0.9858,0.9858,0.609375,925.2295
dtc_c8_f098_n100000_2601072142,98,0.986,0.9861,0.986,0.986,0.59375,903.9648
dtc_c8_f097_n100000_2601072142,97,0.9866,0.9866,0.9866,0.9866,0.609375,1040.6963
dtc_c8_f096_n100000_2601072142,96,0.9868,0.9868,0.9868,0.9868,0.59375,908.9326
dtc_c8_f095_n100000_2601072143,95,0.9882,0.9882,0.9882,0.9882,0.59375,970.6641
dtc_c8_f094_n100000_2601072143,94,0.987,0.987,0.987,0.987,0.59375,989.8984
dtc_c8_f093_n100000_2601072143,93,0.986,0.986,0.986,0.986,0.578125,899.8838
dtc_c8_f092_n100000_2601072143,92,0.9857,0.9857,0.9857,0.9857,0.578125,937.3604
dtc_c8_f091_n100000_2601072143,91,0.9826,0.9827,0.9826,0.9826,0.59375,912.8438
dtc_c8_f090_n100000_2601072143,90,0.9867,0.9867,0.9867,0.9867,0.59375,967.5859
dtc_c8_f089_n100000_2601072143,89,0.9874,0.9874,0.9874,0.9874,0.5625,956.3193
dtc_c8_f088_n100000_2601072143,88,0.9849,0.985,0.9849,0.9849,0.5625,940.3047
dtc_c8_f087_n100000_2601072143,87,0.9818,0.9818,0.9818,0.9818,0.5625,836.2891
dtc_c8_f086_n100000_2601072143,86,0.9854,0.9855,0.9854,0.9854,0.53125,917.7695
