model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
fnn_c8_f128_n100000_2601072225,128,0.9416,0.945,0.9416,0.9423,88.453125,414.2012
fnn_c8_f127_n100000_2601072226,127,0.9376,0.9416,0.9376,0.9385,76.171875,412.1689
fnn_c8_f126_n100000_2601072228,126,0.9398,0.9421,0.9398,0.9404,73.625,410.5088
fnn_c8_f125_n100000_2601072229,125,0.9342,0.9393,0.9342,0.9354,65.6875,408.7148
fnn_c8_f124_n100000_2601072230,124,0.9437,0.9475,0.9437,0.9447,100.125,408.6279
fnn_c8_f123_n100000_2601072231,123,0.9171,0.9249,0.9171,0.9191,39.265625,404.5244
fnn_c8_f122_n100000_2601072232,122,0.941,0.9442,0.941,0.9418,72.59375,404.6328
fnn_c8_f121_n100000_2601072233,121,0.9381,0.9414,0.9381,0.939,71.515625,403.0449
fnn_c8_f120_n100000_2601072234,120,0.9368,0.9407,0.9368,0.9379,68.75,401.3926
fnn_c8_f119_n100000_2601072236,119,0.9401,0.9432,0.9401,0.9409,72.765625,400.0752
fnn_c8_f118_n100000_2601072237,118,0.9424,0.9443,0.9424,0.943,82.65625,398.9531
fnn_c8_f117_n100000_2601072238,117,0.9445,0.9472,0.9445,0.9451,95.234375,397.9668
fnn_c8_f116_n100000_2601072240,116,0.9333,0.9369,0.9333,0.9343,62.0625,394.7031
fnn_c8_f115_n100000_2601072241,115,0.9408,0.9436,0.9408,0.9415,79.8125,393.8789
fnn_c8_f114_n100000_2601072242,114,0.9428,0.9458,0.9428,0.9436,85.265625,392.6328
fnn_c8_f113_n100000_2601072243,113,0.9407,0.9435,0.9407,0.9414,72.921875,390.6357
fnn_c8_f112_n100000_2601072245,112,0.9483,0.9501,0.9483,0.9489,104.09375,390.3984
fnn_c8_f111_n100000_2601072246,111,0.9427,0.9455,0.9427,0.9434,73.53125,387.625
fnn_c8_f110_n100000_2601072248,110,0.9356,0.9391,0.9356,0.9363,70.09375,385.9229
fnn_c8_f109_n100000_2601072249,109,0.9285,0.9321,0.9285,0.9295,53.78125,383.7441
fnn_c8_f108_n100000_2601072250,108,0.9476,0.9501,0.9476,0.9482,106.515625,384.3799
fnn_c8_f107_n100000_2601072251,107,0.9428,0.9448,0.9428,0.9434,76.65625,381.6768
fnn_c8_f106_n100000_2601072253,106,0.9486,0.9516,0.9486,0.9492,111.640625,381.6133
fnn_c8_f105_n100000_2601072254,105,0.9326,0.9374,0.9326,0.9334,54.5625,377.7695
fnn_c8_f104_n100000_2601072255,104,0.9451,0.9477,0.9451,0.9457,91.765625,377.7012
fnn_c8_f103_n100000_2601072257,103,0.9432,0.9463,0.9432,0.944,86.78125,375.9746
fnn_c8_f102_n100000_2601072258,102,0.9428,0.9448,0.9428,0.9434,88.78125,374.541
fnn_c8_f101_n100000_2601072300,101,0.9463,0.9482,0.9463,0.9469,90.875,373.0264
fnn_c8_f100_n100000_2601072301,100,0.9376,0.9407,0.9376,0.9384,62.84375,370.4775
fnn_c8_f099_n100000_2601072302,99,0.9409,0.9446,0.9409,0.9418,79.390625,369.5996
fnn_c8_f098_n100000_2601072303,98,0.9389,0.9426,0.9389,0.9396,70.5625,367.752
fnn_c8_f097_n100000_2601072305,97,0.9497,0.9518,0.9497,0.9502,98.078125,367.3506
fnn_c8_f096_n100000_2601072306,96,0.9454,0.9483,0.9454,0.9461,88.421875,365.4785
fnn_c8_f095_n100000_2601072308,95,0.9341,0.9365,0.9341,0.9348,60.046875,362.7812
fnn_c8_f094_n100000_2601072309,94,0.9364,0.9399,0.9364,0.9373,67.953125,361.5664
fnn_c8_f093_n100000_2601072310,93,0.9421,0.9451,0.9421,0.9429,92.0,361.1367
fnn_c8_f092_n100000_2601072311,92,0.9363,0.9403,0.9363,0.9372,66.359375,358.5
fnn_c8_f091_n100000_2601072312,91,0.9469,0.9482,0.9469,0.9472,102.4375,358.4365
fnn_c8_f090_n100000_2601072314,90,0.9327,0.9368,0.9327,0.9337,63.265625,355.3555
fnn_c8_f089_n100000_2601072315,89,0.9416,0.944,0.9416,0.9423,80.34375,354.5371
fnn_c8_f088_n100000_2601072316,88,0.9464,0.9473,0.9464,0.9467,111.09375,354.2627
fnn_c8_f087_n100000_2601072318,87,0.945,0.948,0.945,0.9458,87.15625,351.7773
fnn_c8_f086_n100000_2601072319,86,0.9456,0.9471,0.9456,0.946,96.390625,350.6826
fnn_c8_f085_n100000_2601072321,85,0.943,0.9465,0.943,0.9438,90.171875,348.9248
fnn_c8_f084_n100000_2601072322,84,0.938,0.9408,0.938,0.9387,68.171875,346.5264
fnn_c8_f083_n100000_2601072323,83,0.9395,0.9429,0.9395,0.9404,66.328125,344.8887
fnn_c8_f082_n100000_2601072324,82,0.9319,0.9352,0.9319,0.9328,57.328125,343.0039
fnn_c8_f081_n100000_2601072325,81,0.9365,0.9401,0.9365,0.9374,62.015625,341.792
fnn_c8_f080_n100000_2601072326,80,0.9364,0.9416,0.9364,0.9375,70.234375,340.6045
fnn_c8_f079_n100000_2601072328,79,0.9429,0.9461,0.943,0.9438,82.640625,339.6924
fnn_c8_f078_n100000_2601072329,78,0.9429,0.9458,0.9429,0.9436,84.59375,338.1992
fnn_c8_f077_n100000_2601072330,77,0.9521,0.954,0.9521,0.9526,111.875,337.8955
fnn_c8_f076_n100000_2601072332,76,0.9402,0.9434,0.9402,0.9411,75.015625,334.7695
fnn_c8_f075_n100000_2601072333,75,0.9435,0.9464,0.9435,0.9442,77.40625,333.4336
fnn_c8_f074_n100000_2601072335,74,0.9352,0.9389,0.9352,0.9361,60.203125,331.0723
fnn_c8_f073_n100000_2601072336,73,0.9387,0.9426,0.9387,0.9397,73.265625,330.1387
fnn_c8_f072_n100000_2601072337,72,0.9396,0.9426,0.9396,0.9404,67.234375,328.4668
fnn_c8_f071_n100000_2601072338,71,0.9461,0.9484,0.9461,0.9467,84.375,327.6777
fnn_c8_f070_n100000_2601072339,70,0.9319,0.9349,0.9319,0.9329,57.21875,324.8848
fnn_c8_f069_n100000_2601072340,69,0.9457,0.9482,0.9457,0.9463,93.765625,324.9639
fnn_c8_f068_n100000_2601072342,68,0.9352,0.9402,0.9352,0.9363,66.421875,322.2979
