feature,importance_at_drop,iteration_dropped,rank
inter_arrival_time,Survived,None,1
stream_jitter_60_sum,110.95672840477843,127,2
stream_60_count,96.91775507161968,126,3
src_ip_60_count,74.98397428960303,125,4
stream_30_count,49.951882880443904,124,5
channel_60_count,46.67410952991602,123,6
src_ip_mac_60_count,38.25509717793151,122,7
src_ip_mac_10_count,39.973870177169395,121,8
channel_60_var,28.895641285259536,120,9
min_et,7.211647326711047,119,10
min_p,33.18142435518003,118,11
stream_jitter_30_sum,26.33721534135647,117,12
stream_10_count,22.62089105413868,116,13
stream_jitter_60_mean,20.075993136407195,115,14
stream_jitter_10_sum,15.103147878295133,114,15
src_ip_mac_1_count,15.818866069290541,113,16
src_ip_mac_30_count,14.678348035981355,112,17
channel_30_var,13.663454208197956,111,18
q1_p,4.8727604200520656,110,19
q1_e,14.256600816210044,109,20
src_ip_mac_5_count,12.87133822282896,108,21
http_uri,11.318863640743695,107,22
src_ip_1_count,10.380005828672308,106,23
channel_1_count,8.798708663970258,105,24
stream_1_count,10.253836369671523,104,25
src_ip_30_count,8.048958838484506,103,26
channel_30_count,9.440045996528971,102,27
stream_60_var,9.463302375006501,101,28
src_ip_5_count,8.013854395891938,100,29
channel_5_count,8.098746516558222,99,30
min_e,8.01194706623505,98,31
src_ip_60_var,7.630895705510831,97,32
stream_jitter_30_mean,7.487754501889574,96,33
stream_jitter_5_sum,7.559500881496886,95,34
src_ip_10_count,6.9139215812768535,94,35
channel_10_count,6.530864911639987,93,36
stream_jitter_10_mean,6.076500337806867,92,37
stream_1_var,4.629109953438653,91,38
src_ip_mac_1_var,5.979826613023479,90,39
q1,5.786676825947458,89,40
src_ip_mac_30_mean,3.54499597431886,88,41
src_ip_30_mean,5.820618156994432,87,42
stream_jitter_1_sum,5.7086617204259325,86,43
src_ip_10_var,4.9055524825969385,85,44
channel_60_mean,5.715680568290685,84,45
channel_5_var,5.467111941753618,83,46
stream_jitter_5_mean,5.260252565253136,82,47
src_ip_30_var,5.158715929789876,81,48
src_ip_mac_60_mean,2.1745866593373875,80,49
src_ip_60_mean,5.084886839021246,79,50
http_content_type,4.906710485023592,78,51
src_ip_mac_60_var,4.5454090241333445,77,52
channel_1_var,4.338286209745542,76,53
var_e,1.2539920135960607,75,54
max_p,4.673765365599534,74,55
stream_jitter_1_mean,4.414039545850406,73,56
src_ip_mac_10_var,4.28150912367901,72,57
channel_10_var,4.324799782688079,71,58
channel_30_mean,4.158643182073211,70,59
stream_5_count,4.1105545133149075,69,60
payload_length,2.7953260047158235,68,61
eth_size,3.0108621601781005,67,62
l3_ip_dst_count,4.1320591612571915,66,63
stream_30_var,4.0220962745307505,65,64
icmp_data_size,3.8732394173292035,64,65
src_ip_mac_5_var,3.419040900284426,63,66
channel_10_mean,3.4094124323025996,62,67
stream_5_var,3.1310937185637338,61,68
stream_60_mean,3.339949144249761,60,69
src_ip_mac_10_mean,3.318357673980402,59,70
stream_5_mean,3.3717058656000956,58,71
src_ip_mac_30_var,3.119245541636414,57,72
average_p,2.958023634589377,56,73
channel_5_mean,2.707493646149838,55,74
src_ip_1_mean,2.6938868999565257,54,75
src_ip_1_var,2.6576933148402087,53,76
channel_1_mean,2.705496401407226,52,77
src_ip_5_var,2.5988929363384576,51,78
user_agent,2.4838118947574612,50,79
stream_10_mean,2.40385703837254,49,80
stream_10_var,2.381009729107437,48,81
src_ip_10_mean,2.357264180483831,47,82
tls_server,2.178979500140026,46,83
sum_p,1.5464635817403518,45,84
iqr_p,2.0204944895180694,44,85
q3_p,2.0611136048715273,43,86
jitter,2.0416542425149866,42,87
var_p,2.013312757643013,41,88
src_ip_mac_5_mean,1.9250197346886737,40,89
http_request_method,1.7918375214664317,39,90
stream_30_mean,1.635414068373924,38,91
src_ip_5_mean,1.580367951110057,37,92
handshake_extensions_length,1.5489313302649212,36,93
handshake_cipher_suites_length,1.584143392180013,35,94
stream_1_mean,1.5339855822238497,34,95
dns_len_qry,1.4923492837356487,33,96
http_response_code,1.4906881685815345,32,97
device_mac,1.2959366882311845,31,98
src_ip_mac_1_mean,0.9482292955100765,30,99
handshake_version,0.864140981327162,29,100
dns_len_ans,0.7694853862003045,28,101
l4_tcp,1.063451424506289,27,102
handshake_sig_hash_alg_len,1.0289860948162228,26,103
dns_server,0.8380526429661439,25,104
payload_entropy,0.8765525817788606,24,105
med_p,0.8599242082659609,23,106
ntp_interval,0.8098855564402321,22,107
icmp_type,0.7759523507872597,21,108
l4_udp,0.8242279053731845,20,109
icmp_checksum_status,0.8473274605163168,19,110
port_class_dst,0.3491837249780311,18,111
dst_port,0.662639257836604,17,112
highest_layer,0.6165066614724071,16,113
src_port,0.637334623240101,15,114
most_freq_spot,0.5786731842364167,14,115
tcp_window_size,0.5583852955870515,13,116
eth_src_oui,0.5444952457586222,12,117
dns_query_type,0.5319856702103832,11,118
ttl,0.34621414636024045,10,119
eth_dst_oui,0.3132801589370846,9,120
time_since_previously_displayed_frame,0.2981770987592696,8,121
stream_jitter_60_var,0.17770843950565496,7,122
stream_jitter_30_var,0.17679672941176847,6,123
stream_jitter_10_var,0.16856545279211826,5,124
stream_jitter_5_var,0.16707088332431638,4,125
stream_jitter_1_var,0.139001043508997,3,126
dns_interval,0.041707552091280645,2,127
http_content_len,0.04114888554738459,1,128
