model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
lrc_c8_f128_n100000_2601072152,128,0.8,0.8216,0.8,0.8064,28.421875,11.0576
lrc_c8_f127_n100000_2601072152,127,0.8,0.8216,0.8,0.8064,28.21875,10.9766
lrc_c8_f126_n100000_2601072153,126,0.8,0.8216,0.8,0.8064,27.90625,10.8994
lrc_c8_f125_n100000_2601072153,125,0.8,0.8216,0.8,0.8064,27.609375,10.8154
lrc_c8_f124_n100000_2601072154,124,0.8,0.8216,0.8,0.8064,27.59375,10.7314
lrc_c8_f123_n100000_2601072154,123,0.8,0.8216,0.8,0.8064,27.359375,10.6465
lrc_c8_f122_n100000_2601072155,122,0.8,0.8216,0.8,0.8064,27.203125,10.5615
lrc_c8_f121_n100000_2601072155,121,0.8,0.8216,0.8,0.8064,27.03125,10.4766
lrc_c8_f120_n100000_2601072156,120,0.8,0.8216,0.8,0.8064,26.765625,10.375
lrc_c8_f119_n100000_2601072156,119,0.7999,0.8213,0.7999,0.8062,26.609375,10.2988
lrc_c8_f118_n100000_2601072156,118,0.7994,0.8206,0.7994,0.8057,26.546875,10.2305
lrc_c8_f117_n100000_2601072157,117,0.7993,0.8205,0.7993,0.8056,26.203125,10.1514
lrc_c8_f116_n100000_2601072157,116,0.7994,0.8205,0.7994,0.8056,25.984375,10.0752
lrc_c8_f115_n100000_2601072158,115,0.7994,0.8204,0.7994,0.8056,25.734375,9.9951
lrc_c8_f114_n100000_2601072158,114,0.7989,0.8196,0.7989,0.8049,25.53125,9.916
lrc_c8_f113_n100000_2601072159,113,0.7974,0.8199,0.7974,0.8038,25.328125,9.8428
lrc_c8_f112_n100000_2601072159,112,0.7975,0.8201,0.7975,0.804,25.0625,9.7646
lrc_c8_f111_n100000_2601072200,111,0.7977,0.8201,0.7977,0.8042,24.953125,9.6914
lrc_c8_f110_n100000_2601072200,110,0.7965,0.8188,0.7965,0.803,24.8125,9.6123
lrc_c8_f109_n100000_2601072200,109,0.7966,0.8188,0.7966,0.8031,24.65625,9.5273
lrc_c8_f108_n100000_2601072201,108,0.7968,0.8192,0.7968,0.8033,24.328125,9.4561
lrc_c8_f107_n100000_2601072201,107,0.797,0.8193,0.797,0.8034,24.125,9.3818
lrc_c8_f106_n100000_2601072202,106,0.797,0.8193,0.797,0.8034,24.03125,9.3047
lrc_c8_f105_n100000_2601072202,105,0.7956,0.8182,0.7956,0.8021,23.6875,9.2344
lrc_c8_f104_n100000_2601072202,104,0.7932,0.8168,0.7932,0.7999,23.40625,9.1543
lrc_c8_f103_n100000_2601072203,103,0.793,0.817,0.793,0.7998,23.203125,9.0791
lrc_c8_f102_n100000_2601072203,102,0.7931,0.817,0.7931,0.7998,23.015625,8.9883
lrc_c8_f101_n100000_2601072204,101,0.7882,0.8141,0.7882,0.7952,22.84375,8.917
lrc_c8_f100_n100000_2601072204,100,0.7881,0.8139,0.7881,0.795,22.578125,8.8408
lrc_c8_f099_n100000_2601072204,99,0.7879,0.8138,0.7879,0.7949,22.53125,8.7588
lrc_c8_f098_n100000_2601072205,98,0.788,0.8139,0.788,0.795,22.125,8.6768
lrc_c8_f097_n100000_2601072205,97,0.7817,0.8107,0.7817,0.7892,22.0625,8.6016
lrc_c8_f096_n100000_2601072205,96,0.7818,0.8109,0.7818,0.7893,21.75,8.5186
lrc_c8_f095_n100000_2601072206,95,0.7815,0.8107,0.7815,0.7889,21.609375,8.4424
lrc_c8_f094_n100000_2601072206,94,0.7814,0.8107,0.7814,0.7888,21.46875,8.3643
lrc_c8_f093_n100000_2601072207,93,0.7815,0.8108,0.7815,0.7889,21.21875,8.2695
lrc_c8_f092_n100000_2601072207,92,0.7815,0.8108,0.7815,0.7889,20.953125,8.1777
lrc_c8_f091_n100000_2601072207,91,0.7817,0.811,0.7817,0.7891,20.8125,8.0996
lrc_c8_f090_n100000_2601072208,90,0.7819,0.8111,0.7819,0.7892,20.578125,8.0205
lrc_c8_f089_n100000_2601072208,89,0.7819,0.8112,0.7819,0.7893,20.375,7.9365
lrc_c8_f088_n100000_2601072208,88,0.782,0.8111,0.782,0.7893,20.1875,7.8545
