model_name,num_features,accuracy,precision,recall,f1-score,training_time,size_in_KB
rfc_c8_f128_n100000_2601072143,128,0.9827,0.9833,0.9827,0.9829,56.984375,53722.001
rfc_c8_f127_n100000_2601072143,127,0.9825,0.9831,0.9825,0.9826,58.125,54203.2314
rfc_c8_f126_n100000_2601072144,126,0.9827,0.9833,0.9827,0.9828,58.515625,53023.9629
rfc_c8_f125_n100000_2601072144,125,0.9828,0.9834,0.9828,0.9829,59.15625,54216.9502
rfc_c8_f124_n100000_2601072144,124,0.9828,0.9835,0.9828,0.983,58.765625,53966.1787
rfc_c8_f123_n100000_2601072144,123,0.9826,0.9832,0.9826,0.9827,58.609375,53450.4082
rfc_c8_f122_n100000_2601072144,122,0.9826,0.9832,0.9826,0.9827,59.78125,53034.376
rfc_c8_f121_n100000_2601072144,121,0.983,0.9836,0.983,0.9831,57.546875,52796.8633
rfc_c8_f120_n100000_2601072144,120,0.9829,0.9835,0.9829,0.983,60.234375,52726.3486
rfc_c8_f119_n100000_2601072144,119,0.9826,0.9832,0.9826,0.9827,55.390625,54085.0693
rfc_c8_f118_n100000_2601072144,118,0.9825,0.9831,0.9825,0.9826,55.359375,54913.2998
rfc_c8_f117_n100000_2601072144,117,0.9821,0.9827,0.9821,0.9822,56.625,54296.5215
rfc_c8_f116_n100000_2601072145,116,0.9828,0.9835,0.9828,0.9829,56.71875,53169.2549
rfc_c8_f115_n100000_2601072145,115,0.9829,0.9836,0.9829,0.9831,56.890625,53976.7441
rfc_c8_f114_n100000_2601072145,114,0.9823,0.983,0.9824,0.9825,55.875,53017.4824
rfc_c8_f113_n100000_2601072145,113,0.9828,0.9834,0.9828,0.9829,56.828125,53149.71
rfc_c8_f112_n100000_2601072145,112,0.9829,0.9835,0.9829,0.983,58.53125,53717.9463
rfc_c8_f111_n100000_2601072145,111,0.9828,0.9835,0.9828,0.983,58.296875,53054.8916
rfc_c8_f110_n100000_2601072145,110,0.9828,0.9834,0.9828,0.9829,58.71875,52298.8701
rfc_c8_f109_n100000_2601072145,109,0.9827,0.9833,0.9827,0.9828,53.78125,54608.0977
rfc_c8_f108_n100000_2601072145,108,0.9826,0.9832,0.9826,0.9827,54.109375,54561.5762
rfc_c8_f107_n100000_2601072145,107,0.9826,0.9832,0.9826,0.9827,54.953125,54292.5537
rfc_c8_f106_n100000_2601072146,106,0.9826,0.9832,0.9826,0.9827,54.53125,54434.291
rfc_c8_f105_n100000_2601072146,105,0.9824,0.983,0.9824,0.9825,54.59375,53930.2686
rfc_c8_f104_n100000_2601072146,104,0.9827,0.9833,0.9827,0.9828,54.28125,53859.7549
rfc_c8_f103_n100000_2601072146,103,0.9824,0.983,0.9824,0.9825,54.890625,53347.9961
rfc_c8_f102_n100000_2601072146,102,0.9827,0.9833,0.9827,0.9828,56.0625,53628.4795
rfc_c8_f101_n100000_2601072146,101,0.9829,0.9835,0.9829,0.9831,55.859375,52746.4629
rfc_c8_f100_n100000_2601072146,100,0.9826,0.9832,0.9826,0.9827,55.78125,53704.9473
rfc_c8_f099_n100000_2601072146,99,0.9828,0.9834,0.9828,0.9829,51.078125,54697.6826
rfc_c8_f098_n100000_2601072146,98,0.9825,0.9831,0.9825,0.9826,50.84375,55089.9141
rfc_c8_f097_n100000_2601072146,97,0.9821,0.9828,0.9821,0.9823,50.609375,55053.875
rfc_c8_f096_n100000_2601072147,96,0.9823,0.9829,0.9823,0.9824,50.75,54101.3525
rfc_c8_f095_n100000_2601072147,95,0.9818,0.9825,0.9818,0.982,50.9375,53828.5869
rfc_c8_f094_n100000_2601072147,94,0.9821,0.9828,0.9821,0.9823,50.984375,54213.3184
rfc_c8_f093_n100000_2601072147,93,0.9826,0.9833,0.9826,0.9827,51.3125,53717.8076
rfc_c8_f092_n100000_2601072147,92,0.9827,0.9834,0.9827,0.9829,50.734375,53365.293
rfc_c8_f091_n100000_2601072147,91,0.9826,0.9832,0.9826,0.9827,50.59375,53001.2705
rfc_c8_f090_n100000_2601072147,90,0.9824,0.983,0.9824,0.9825,51.296875,53924.5039
rfc_c8_f089_n100000_2601072147,89,0.9821,0.9828,0.9821,0.9823,46.453125,55818.2373
rfc_c8_f088_n100000_2601072147,88,0.9817,0.9824,0.9817,0.9819,46.765625,55339.4736
rfc_c8_f087_n100000_2601072147,87,0.9819,0.9826,0.9819,0.9821,45.984375,55396.9541
rfc_c8_f086_n100000_2601072147,86,0.9822,0.9829,0.9823,0.9824,46.953125,55212.1885
rfc_c8_f085_n100000_2601072147,85,0.9824,0.9831,0.9824,0.9825,45.609375,55205.9307
rfc_c8_f084_n100000_2601072148,84,0.9821,0.9828,0.9821,0.9823,46.96875,54533.9248
rfc_c8_f083_n100000_2601072148,83,0.9825,0.9832,0.9825,0.9826,45.890625,54754.1543
rfc_c8_f082_n100000_2601072148,82,0.9823,0.983,0.9823,0.9825,45.640625,54812.8848
rfc_c8_f081_n100000_2601072148,81,0.9826,0.9832,0.9826,0.9827,45.9375,54337.8652
rfc_c8_f080_n100000_2601072148,80,0.9826,0.9832,0.9826,0.9827,45.65625,53779.3418
rfc_c8_f079_n100000_2601072148,79,0.9818,0.9825,0.9818,0.982,41.1875,56715.8262
rfc_c8_f078_n100000_2601072148,78,0.9819,0.9826,0.9819,0.982,40.828125,56213.0684
rfc_c8_f077_n100000_2601072148,77,0.982,0.9827,0.982,0.9821,40.96875,56065.2949
rfc_c8_f076_n100000_2601072148,76,0.9821,0.9828,0.9821,0.9823,42.1875,56032.0283
rfc_c8_f075_n100000_2601072148,75,0.9818,0.9824,0.9818,0.9819,41.265625,56181.0176
rfc_c8_f074_n100000_2601072148,74,0.9823,0.983,0.9823,0.9825,41.484375,55935.501
rfc_c8_f073_n100000_2601072148,73,0.9819,0.9826,0.9819,0.982,41.34375,55572.2432
rfc_c8_f072_n100000_2601072149,72,0.982,0.9827,0.982,0.9821,41.75,55373.9736
rfc_c8_f071_n100000_2601072149,71,0.9819,0.9826,0.9819,0.9821,41.265625,54831.458
rfc_c8_f070_n100000_2601072149,70,0.9821,0.9828,0.9821,0.9822,41.265625,54970.4443
rfc_c8_f069_n100000_2601072149,69,0.9812,0.982,0.9812,0.9814,36.40625,58352.4297
rfc_c8_f068_n100000_2601072149,68,0.9812,0.9819,0.9812,0.9813,37.046875,58451.1592
rfc_c8_f067_n100000_2601072149,67,0.9813,0.9821,0.9813,0.9815,36.203125,57539.8984
rfc_c8_f066_n100000_2601072149,66,0.9808,0.9817,0.9808,0.981,36.609375,57622.875
rfc_c8_f065_n100000_2601072149,65,0.9813,0.9821,0.9813,0.9815,36.65625,57897.1055
rfc_c8_f064_n100000_2601072149,64,0.9813,0.9821,0.9813,0.9815,36.96875,57662.8467
rfc_c8_f063_n100000_2601072149,63,0.9816,0.9823,0.9816,0.9817,35.96875,56787.3301
rfc_c8_f062_n100000_2601072149,62,0.9817,0.9824,0.9817,0.9818,35.984375,56742.5723
